Player,Pos,Age,Min,MP,Goals
Sehrou Guirassy,FW,26.0,1016,37,0.8
Péter Gulácsi,GK,32.0,2967,33,0.0
Manuel Gulde,DF,31.0,1225,20,0.0
Gerard Gumbau,MF,27.0,1890,31,0.0
Robert Gumny,DF,23.0,2272,28,0.0
Ýlkay Gündoðan,MF,31.0,1857,27,0.39
Angus Gunn,GK,26.0,810,9,0.0
Christian Günter,DF,29.0,3060,34,0.06
Koray Günter,DF,27.0,2411,30,0.0
Lasse Günther,DF,19.0,161,5,0.0
Jon Guridi,MF,27.0,206,8,0.43
Malo Gusto,DF,19.0,1884,30,0.0
Raúl Guti,MF,25.0,1627,31,0.0
Marcos Mauro López Gutiérrez,DF,31.0,136,3,0.0
Miguel Gutiérrez,DF,20.0,260,3,0.0
Albert Gu?mundsson,FWMF,24.0,607,12,0.15
Joko Gvardiol,DF,20.0,2409,29,0.07
Emmanuel Gyasi,FWDF,28.0,3035,36,0.18
Norbert Gyömbér,DF,29.0,2563,31,0.0
Erling Haaland,FW,21.0,1911,24,1.04
Nicolas Haas,MF,26.0,1001,16,0.0
Janik Haberer,MF,28.0,818,26,0.33
Alexander Hack,DF,28.0,2074,28,0.13
Robin Hack,FWMF,23.0,1364,30,0.0
Munir El Haddadi,FWMF,26.0,474,16,0.38
André Hahn,MFFW,31.0,2101,32,0.21
Amadou Haidara,MF,24.0,1326,20,0.2
Massadio Haïdara,DF,29.0,1076,20,0.08
Oualid El Hajjam,DF,31.0,1072,19,0.08
Achraf Hakimi,DF,23.0,2479,32,0.15
Marcel Halstenberg,DF,30.0,507,8,0.18
Pierre-Yves Hamel,FWDF,28.0,30,3,0.0
Pierre-Yves Hamel,FW,28.0,523,17,0.0
Romain Hamouma,FW,35.0,886,22,0.2
Samir Handanovi?,GK,37.0,3330,37,0.0
Grant Hanley,DF,30.0,2897,33,0.03
Ridgeciano Haps,DF,28.0,2056,25,0.04
Genki Haraguchi,MF,31.0,1755,30,0.1
Amine Harit,FWMF,24.0,1165,23,0.31
Varazdat Haroyan,DF,29.0,1437,17,0.06
Jack Harrison,FWMF,25.0,2639,35,0.27
Abdou Harroui,MF,24.0,452,22,0.0
Luis Hartwig,MF,19.0,2,1,0.0
Makoto Hasebe,DF,38.0,1187,18,0.0
Hans Hateboer,DF,28.0,1386,21,0.0
Kortney Hause,DF,26.0,397,7,0.23
Kai Havertz,FWMF,22.0,1809,29,0.4
Isaac Hayden,MFDF,27.0,1002,14,0.09
Eden Hazard,FWMF,31.0,717,18,0.0
Thorgan Hazard,FWDF,29.0,1337,23,0.27
Jonas Hector,DF,32.0,2553,30,0.0
Hwang Hee-chan,FW,26.0,49,2,0.0
Hwang Hee-chan,FWMF,26.0,1816,30,0.25
Silvan Hefti,DF,24.0,1288,16,0.0
Dominique Heintz,DF,28.0,467,7,0.0
Dominique Heintz,DF,28.0,29,1,0.0
Jordan Henderson,MF,31.0,2597,35,0.07
Liam Henderson,MF,26.0,2020,38,0.09
Jeff Hendrick,MF,30.0,72,3,1.25
Wayne Hennessey,GK,35.0,180,2,0.0
Benjamin Henrichs,DF,25.0,1143,22,0.24
Henrique,DF,28.0,1105,18,0.0
Dalbert Henrique,DFMF,28.0,2081,28,0.0
Luis Henrique,FWMF,20.0,699,20,0.0
Matheus Henrique,MF,24.0,1078,25,0.0
Rico Henry,DF,24.0,2776,34,0.1
Thomas Henry,FW,27.0,2115,33,0.38
Christophe Hérelle,DF,29.0,1932,23,0.0
Jérôme Hergault,DFMF,36.0,352,8,0.0
Kike Hermoso,DF,22.0,90,1,1.0
Mario Hermoso,DF,26.0,1865,26,0.1
Aridane Hernández,DF,33.0,1159,15,0.0
Lucas Hernández,DF,26.0,2030,25,0.0
Luis Hernández,DF,33.0,1366,16,0.0
Mario Hernández,DFFW,23.0,395,9,0.23
Theo Hernández,DF,24.0,2711,32,0.17
Hernani,MFFW,28.0,682,18,0.0
Ander Herrera,MF,32.0,1091,19,0.25
Héctor Herrera,MF,32.0,859,21,0.0
Sergio Herrera,GK,28.0,3240,36,0.0
Yangel Herrera,MF,24.0,1645,23,0.05
Patrick Herrmann,DFFW,31.0,754,23,0.0
Son Heung-min,FWMF,29.0,3006,35,0.69
Daan Heymans,MFFW,22.0,256,7,0.0
Aaron Hickey,DF,19.0,2820,36,0.16
Piero Hincapié,DF,20.0,1754,27,0.05
Martin Hinteregger,DF,29.0,2222,27,0.04
Marwin Hitz,GK,34.0,405,5,0.0
Ki-Jana Hoever,DF,20.0,308,8,0.0
Nicolas Höfler,MF,32.0,2600,30,0.07
Jonas Hofmann,MFFW,29.0,2078,26,0.52
Rob Holding,DF,26.0,845,15,0.11
Lucas Höler,FWMF,27.0,2583,34,0.24
Mason Holgate,DF,25.0,2134,25,0.08
Gerrit Holtmann,FWMF,27.0,1840,29,0.25
Martin Hongla,MF,24.0,651,18,0.14
Franck Honorat,MFFW,25.0,2899,34,0.34
Justin Hoogma,DF,23.0,270,3,0.0
Sydney van Hooijdonk,FWMF,22.0,38,4,0.0
Matthew Hoppe,FW,21.0,131,5,0.0
Jannes Horn,DF,25.0,478,11,0.0
Timo Horn,GK,29.0,1170,13,0.0
Fraser Hornby,FWMF,22.0,350,8,0.0
Cédric Hountondji,DF,28.0,2034,23,0.04
Luká Hrádeck?,GK,32.0,2880,32,0.0
Branimir Hrgota,FW,29.0,2777,34,0.29
Petko Hristov,DF,23.0,1248,17,0.07
Ajdin Hrustic,MF,25.0,964,23,0.19
Timo Hübers,DF,25.0,1740,20,0.05
Benjamin Hübner,DF,32.0,375,5,0.24
Callum Hudson-Odoi,FWMF,21.0,962,15,0.09
Will Hughes,MF,27.0,1053,16,0.0
Mats Hummels,DF,33.0,1765,23,0.05
Elseid Hysaj,DF,28.0,2027,29,0.04
Suk Hyun-jun,FWMF,30.0,153,9,0.0
Pierre Højbjerg,MF,26.0,3196,36,0.06
Iago,DF,25.0,2174,28,0.08
Robert Ibáñez,MF,29.0,93,4,0.0
Roger Ibanez,DF,23.0,2889,34,0.09
Vicente Iborra,MF,34.0,1034,20,0.0
Zlatan Ibrahimovi?,FW,40.0,1016,23,0.71
Mauro Icardi,FW,29.0,1027,24,0.35
Adam Idah,FWMF,21.0,625,17,0.14
Oussama Idrissi,FWMF,26.0,127,5,0.0
Oussama Idrissi,MF,26.0,902,12,0.1
Iglesias,DF,23.0,719,20,0.0
Borja Iglesias,FW,29.0,1573,33,0.57
Jonathan Iglesias,MF,33.0,579,15,0.0
Juan Ignacio Ramírez,FW,25.0,126,5,0.0
Igor,DF,24.0,2242,30,0.0
Kelechi Iheanacho,FW,25.0,1264,26,0.29
Danylo Ihnatenko,MF,25.0,692,11,0.0
Jonathan Ikone,MFFW,24.0,1062,18,0.08
Jonathan Ikone,FW,24.0,649,17,0.14
Ivan Ili?,MF,21.0,2526,32,0.04
Josip Ili?i?,FWMF,34.0,841,20,0.32
Asier Illarramendi,MF,32.0,374,8,0.0
Stefan Ilsanker,DFMF,33.0,266,12,0.0
Ciro Immobile,FW,32.0,2711,31,0.9
Burak Ýnce,FW,18.0,139,5,0.0
Danny Ings,FW,29.0,1898,30,0.33
Marcus Ingvartsen,MF,26.0,122,2,0.0
Marcus Ingvartsen,FWMF,26.0,680,26,0.79
Bonke Innocent,MF,26.0,874,12,0.0
Lorenzo Insigne,FW,30.0,2290,32,0.43
Nikita Iosifov,MF,21.0,1,1,0.0
Tim Iroegbunam,MF,18.0,92,3,0.0
Alexander Isak,FW,22.0,2140,32,0.25
Isco,MFFW,30.0,267,13,0.33
Wilson Isidor,FWMF,21.0,50,4,0.0
Ardian Ismajli,DF,25.0,1272,20,0.0
Hiroki Ito,DF,23.0,2348,29,0.04
Cedric Itten,FW,25.0,635,12,0.28
Gian-Luca Itter,DF,23.0,1455,24,0.0
Alex Iwobi,MFDF,26.0,2035,28,0.09
Armando Izzo,DF,30.0,526,11,0.0
Nicolas Jackson,FW,20.0,165,9,0.0
Lee Jae-sung,MFFW,29.0,1436,27,0.25
Paul Jaeckel,DF,23.0,2047,24,0.0
Mato Jajalo,MF,34.0,629,22,0.0
Kristijan Jaki?,MF,25.0,1879,26,0.05
Ismail Jakobs,DFFW,22.0,1203,28,0.0
Marin Jakoli,FW,25.0,229,10,0.0
Abdel Jalil Medioub,DF,24.0,622,10,0.0
Daniel James,FW,24.0,126,2,0.0
Daniel James,FWMF,24.0,2366,32,0.15
Reece James,DF,22.0,1864,26,0.24
Vitaly Janelt,MF,24.0,2298,31,0.16
Jakub Jankto,DFMF,26.0,587,14,0.0
Pontus Jansson,DF,31.0,3321,37,0.08
Tony Jantschke,DF,32.0,225,3,0.0
Adnan Januzaj,FWMF,27.0,1625,33,0.17
Pawe? Jaroszy?ski,DF,27.0,516,13,0.0
Jason,MFFW,27.0,678,14,0.0
Jason,MFDF,27.0,75,5,0.0
Dennis Jastrzembski,DFFW,22.0,225,8,0.0
Luis Javier Suárez,FW,24.0,2782,36,0.26
Corentin Jean,FWDF,26.0,255,17,0.36
Jemerson,DF,29.0,1202,15,0.0
Fredrik Jensen,MFFW,24.0,418,12,0.0
Mathias Jensen,MF,26.0,1601,31,0.0
Moritz Jenz,DF,23.0,1381,17,0.07
Gabriel Jesus,FW,25.0,1877,28,0.38
Juan Jesus,DF,30.0,1278,21,0.07
Álvaro Jiménez,MFFW,27.0,234,9,0.0
Raúl Jiménez,FW,31.0,2631,34,0.21
Joaquín,FWMF,40.0,471,21,0.0
Joelinton,MFFW,25.0,2558,35,0.14
Jofre,MFDF,20.0,20,3,0.0
Marco John,DF,20.0,42,2,0.0
Dennis Johnsen,FWMF,24.0,1445,26,0.06
Ben Johnson,DF,22.0,1397,20,0.06
Curtis Jones,MF,21.0,851,15,0.11
Phil Jones,DF,30.0,163,4,0.0
Frenkie de Jong,MF,25.0,2476,32,0.11
Luuk de Jong,FW,31.0,654,21,0.82
Joan Jordán,MF,27.0,2514,36,0.0
Kaio Jorge,MFFW,20.0,121,9,0.0
Jorginho,MF,30.0,2273,29,0.24
Josan,DFMF,32.0,1211,31,0.15
Willian José,FW,30.0,1604,32,0.51
Joselu,FW,32.0,3122,37,0.4
Josema,DF,25.0,183,6,0.0
Lenny Joseph,FWMF,21.0,153,8,0.0
Diogo Jota,FW,25.0,2364,35,0.57
Stevan Joveti?,FW,32.0,1017,18,0.53
Luka Jovi?,FW,24.0,369,15,0.24
Miguel Juan Llambrich,DF,26.0,70,2,0.0
José Juan Macías,FWMF,22.0,201,7,0.0
Juanmi,FW,29.0,2131,33,0.68
Gideon Jung,DF,27.0,142,5,0.0
Flavio Junior Bianchi,FWMF,22.0,314,7,0.29
Hamed Junior Traorè,FWMF,22.0,1775,31,0.36
Lago Junior,FWMF,31.0,177,6,0.0
Vinicius Júnior,FW,21.0,2690,35,0.57
James Justin,DF,24.0,998,13,0.0
Jutglà,FW,23.0,301,6,0.3
Jens Jønsson,MF,29.0,1303,22,0.0
Mathias Jørgensen,DF,32.0,518,8,0.17
Ozan Kabak,DF,22.0,922,11,0.0
Christian Kabasele,DF,31.0,1193,16,0.0
Issa Kaboré,DF,21.0,2254,31,0.0
Anton Kade,MFDF,18.0,77,4,0.0
Pavel Kade?ábek,DF,30.0,1195,19,0.08
Tino Kadewere,FW,26.0,506,15,0.18
Florian Kainz,MFFW,29.0,2320,32,0.16
Gaël Kakuta,MFFW,30.0,1673,29,0.16
Sasa Kalajdzic,FW,24.0,1221,15,0.44
Arnaud Kalimuendo,FW,20.0,8,2,0.0
Arnaud Kalimuendo,FW,20.0,2148,32,0.5
Nikola Kalini?,FW,34.0,406,14,0.89
Yayah Kallon,FWMF,20.0,636,15,0.0
Felix Kalu Nmecha,MFFW,21.0,323,16,0.0
Samuel Kalu,FW,24.0,222,4,0.0
Samuel Kalu,FWMF,24.0,328,11,0.28
Pierre Kalulu,DF,21.0,1944,28,0.05
Daichi Kamada,MFFW,25.0,2139,32,0.17
Boubacar Kamara,MFDF,22.0,2778,34,0.03
Hassane Kamara,MFDF,28.0,544,11,0.0
Hassane Kamara,DF,28.0,1623,19,0.06
Dimitrije Kamenovi?,DF,21.0,45,1,0.0
Kevin Kampl,MF,31.0,1899,27,0.0
Jean-Armel Kana-Biyik,DF,32.0,664,10,0.0
Nordine Kandil,MFFW,20.0,90,5,0.0
Harry Kane,FW,28.0,3232,37,0.47
Lee Kangin,MFFW,21.0,1411,30,0.06
N'Golo Kanté,MF,31.0,1773,26,0.1
Stefanos Kapino,GK,28.0,90,1,0.0
Atakan Karazor,MF,25.0,1898,24,0.0
Rick Karsdorp,DF,27.0,2883,36,0.0
Denso Kasius,DF,19.0,180,7,0.0
Grigoris Kastanos,MFFW,24.0,1348,27,0.07
Silas Katompa,MFFW,23.0,277,9,0.0
Noah Katterbach,DF,21.0,16,1,0.0
Eiji Kawashima,GK,39.0,90,1,0.0
Edo Kayembe,MF,23.0,799,13,0.0
Moise Kean,FW,22.0,1,1,0.0
Moise Kean,FW,22.0,1098,32,0.41
Michael Keane,DF,29.0,2792,32,0.1
Ilan Kebbal,MFFW,23.0,1772,31,0.05
Wajdi Kechrida,DFMF,26.0,952,17,0.0
Thilo Kehrer,DF,25.0,1513,27,0.12
Habib Keita,MFFW,20.0,7,3,0.0
Naby Keïta,MF,27.0,1173,23,0.23
Yannik Keitel,MF,22.0,504,12,0.0
Caoimhín Kelleher,GK,23.0,180,2,0.0
Marc-Oliver Kempf,DF,27.0,1051,12,0.0
Marc-Oliver Kempf,DF,27.0,840,12,0.32
Kenedy,DF,26.0,58,1,0.0
Jonjoe Kenny,DF,25.0,1018,15,0.0
Dimitrios Keramitsis,DF,17.0,1,1,0.0
Franck Kessié,MF,25.0,2308,31,0.23
Saîf-Eddine Khaoui,MFFW,27.0,927,23,0.1
Wahbi Khazri,FWMF,31.0,2225,30,0.4
Rani Khedira,MF,28.0,2757,32,0.0
Kike,FW,32.0,1862,33,0.24
Luca Kilian,FW,22.0,1,1,0.0
Luca Kilian,DF,22.0,2281,30,0.04
Max Kilman,DF,25.0,2687,30,0.03
Joshua Kimmich,MF,27.0,2474,28,0.11
Presnel Kimpembe,DF,26.0,2576,30,0.03
Joshua King,FW,30.0,2248,32,0.2
Jakub Kiwior,MF,22.0,1964,22,0.0
Sofian Kiyine,MFFW,24.0,1239,26,0.07
Simon Kjær,DF,33.0,802,11,0.0
Kristoffer Klaesson,GK,21.0,36,1,0.0
Philipp Klement,MFFW,29.0,338,6,0.26
Mateusz Klich,MF,31.0,2073,33,0.04
Thibault Klidje,DFFW,20.0,86,5,0.0
Mateo Klimowicz,FWMF,21.0,603,15,0.0
Fabian Klos,FW,34.0,1420,25,0.19
Lukas Klostermann,DF,25.0,1648,23,0.0
Justin Kluivert,MF,23.0,1868,27,0.19
Lukas Klünter,DF,26.0,194,5,0.0
Ansgar Knauff,DF,20.0,759,12,0.12
Ansgar Knauff,FWMF,20.0,114,5,0.0
Robin Knoche,DF,30.0,2970,33,0.0
Gregor Kobel,GK,24.0,2565,29,0.0
Robin Koch,MFDF,25.0,1574,20,0.0
Samuel Koeberlé,MF,17.0,1,1,0.0
Philippe Koffi,FW,20.0,375,10,0.24
Dominik Kohr,MF,28.0,1614,22,0.0
Koba Koindredi,MF,20.0,181,10,0.0
Koke,MF,30.0,2508,31,0.04
Aleksandr Kokorin,FWMF,31.0,55,6,0.0
Aleksandar Kolarov,DF,36.0,42,3,0.0
Sead Kolainac,DF,28.0,440,14,0.0
Sead Kolainac,DF,28.0,91,2,0.0
Luca Koleosho,FW,17.0,1,1,0.0
Randal Kolo Muani,FWMF,23.0,2948,36,0.37
Timothée Kolodziejczak,DF,30.0,2565,30,0.07
Ghislain Konan,DF,26.0,2418,28,0.04
Ibrahima Konaté,DF,23.0,990,11,0.0
Geoffrey Kondogbia,MFDF,29.0,1882,28,0.05
Ibrahima Koné,FW,22.0,732,16,0.62
Kouadio Koné,MF,21.0,2183,27,0.08
Youssouf Koné,DF,26.0,980,21,0.0
Ezri Konsa,DF,24.0,2477,29,0.07
Teun Koopmeiners,MF,24.0,2126,30,0.17
Laurent Koscielny,DF,36.0,933,11,0.0
Odilon Kossonou,DF,21.0,1793,27,0.0
Filip Kosti?,DFFW,29.0,2522,31,0.14
Rominigue Kouamé,MF,25.0,2968,34,0.03
Nianzou Kouassi,DF,19.0,582,17,0.15
Kalidou Koulibaly,DF,30.0,2405,27,0.11
Jules Koundé,DF,23.0,2736,32,0.07
Christos Kourfalidis,MFDF,19.0,18,2,0.0
Boubakar Kouyaté,DF,25.0,2665,30,0.03
Cheikhou Kouyaté,MF,32.0,1974,27,0.0
Mateo Kova?i?,MF,28.0,1558,25,0.12
Viktor Kovalenko,MF,26.0,1325,26,0.07
Emil Krafth,DF,27.0,1634,20,0.0
Alex Král,MF,24.0,1,1,0.0
Andrej Kramari?,FWMF,30.0,2707,32,0.2
Christoph Kramer,MF,31.0,748,18,0.0
Jean-Philippe Krasso,FW,24.0,453,16,0.2
Julian Kristoffersen,FW,25.0,7,1,0.0
Toni Kroos,MF,32.0,2103,28,0.04
Florian Krüger,FWMF,23.0,1129,27,0.08
Tim Krul,GK,34.0,2610,29,0.0
Rade Kruni?,MFFW,28.0,1416,28,0.0
Max Kruse,FWMF,34.0,1128,14,0.56
Max Kruse,FWMF,34.0,1270,16,0.35
Lukas Kübler,DF,29.0,2327,29,0.08
Takefusa Kubo,FWMF,20.0,1605,28,0.06
Juraj Kucka,MF,35.0,1920,26,0.05
Mykola Kukharevych,FW,20.0,15,2,0.0
Dejan Kulusevski,MFFW,22.0,1261,18,0.36
Dejan Kulusevski,FWMF,22.0,772,20,0.12
Marash Kumbulla,DF,22.0,1025,17,0.0
Fabian Kunze,MF,23.0,1260,22,0.0
Enock Kwateng,DF,25.0,2002,29,0.05
Grejohn Kyei,FW,26.0,396,14,0.0
Giorgos Kyriakopoulos,DFFW,26.0,1975,29,0.0
Andrea La Mantia,FW,31.0,488,18,0.37
Gaëtan Laborde,FW,28.0,2729,34,0.4
Gaëtan Laborde,FW,28.0,341,4,0.79
Alexandre Lacazette,FWMF,31.0,1782,30,0.2
Tom Lacoux,DFMF,20.0,907,13,0.0
Lenny Lacroix,DF,19.0,200,3,0.0
Maxence Lacroix,DF,22.0,2491,29,0.0
Alban Lafont,GK,23.0,3420,38,0.0
Víctor Laguardia,DF,32.0,3042,34,0.09
Konrad Laimer,MF,25.0,1240,26,0.29
Stefan Lainer,DF,29.0,1471,21,0.06
Diego Lainez,FW,21.0,140,7,0.0
Adam Lallana,MF,34.0,1561,24,0.0
Vassilis Lambropoulos,DF,32.0,1168,13,0.0
Érik Lamela,FW,30.0,1015,20,0.44
Didier Lamkel Zé,FW,25.0,605,9,0.45
Sam Lammers,FW,25.0,517,15,0.18
Sam Lammers,FW,25.0,38,2,0.0
Tariq Lamptey,DFFW,21.0,1561,30,0.0
Manuel Lanzini,MFFW,29.0,1786,30,0.25
Aymeric Laporte,DF,28.0,2828,33,0.13
Julien Laporte,DF,28.0,2891,33,0.06
Yasser Larouci,DF,21.0,341,12,0.0
Kevin Lasagna,FWMF,29.0,1184,28,0.15
Jamaal Lascelles,DF,28.0,2058,26,0.04
Bryan Lasme,FW,23.0,877,23,0.21
Paul Lasne,MF,33.0,847,15,0.0
Latasa,FW,21.0,9,1,0.0
Toni Lato,DFMF,24.0,590,11,0.0
Armand Lauriente,FWMF,23.0,2477,35,0.22
Darko Lazovi?,DF,31.0,2766,34,0.03
Manuel Lazzari,DF,28.0,1665,31,0.16
Théo Le Bris,MF,19.0,61,4,0.0
Jérémy Le Douaron,FW,24.0,1446,32,0.31
Enzo Le Fée,MFFW,22.0,2194,36,0.04
Vincent Le Goff,DF,32.0,3060,34,0.03
Maxime Le Marchand,DF,32.0,860,12,0.1
Robin Le Normand,DF,25.0,3330,37,0.03
Patrick Leal,MF,19.0,2,1,0.0
Rafael Leão,FW,22.0,2605,34,0.38
Jean-Louis Leca,GK,36.0,2313,27,0.0
Jeremías Ledesma,GK,29.0,3420,38,0.0
Pierre Lees-Melou,MF,29.0,2265,33,0.04
Wu Lei,FWMF,30.0,474,23,0.19
Maxim Leitsch,DF,24.0,1538,19,0.06
Lucas Leiva,MF,35.0,1697,35,0.0
Florian Lejeune,DF,31.0,2699,30,0.0
Iñigo Lekue,DF,29.0,1925,25,0.0
Thomas Lemar,MF,26.0,1440,24,0.25
Félix Lemaréchal,MF,18.0,9,1,0.0
Mario Lemina,MF,28.0,1967,32,0.09
Fabien Lemoine,MF,35.0,1117,21,0.0
Tim Lemperle,FWMF,20.0,149,13,1.18
Ruben Lendinez,DF,19.0,137,4,0.0
Clément Lenglet,DF,26.0,826,21,0.0
Aaron Lennon,MF,35.0,1551,28,0.12
Bernd Leno,GK,30.0,360,4,0.0
Christopher Lenz,DF,27.0,664,15,0.0
Léo Leroy,MF,22.0,626,24,0.0
Alexandre Letellier,GK,31.0,8,1,0.0
Robert Lewandowski,FW,33.0,2946,34,1.07
Jamie Leweling,FWDF,21.0,1959,33,0.23
Jamal Lewis,DF,24.0,262,5,0.0
Luca Lezzerini,GK,27.0,495,6,0.0
Ben Lhassine Kone,MF,22.0,81,1,0.0
Yanis Lhery,FWMF,19.0,72,5,0.0
Dimitri Liénard,DFMF,34.0,2044,33,0.09
Philipp Lienhart,DF,25.0,2870,32,0.16
Matthijs de Ligt,DF,22.0,2674,31,0.1
Isaac Lihadji,MFFW,20.0,238,13,0.38
Anderson Lima,MF,22.0,65,4,0.0
Andreas Linde,GK,28.0,1080,12,0.0
Victor Lindelöf,DF,27.0,2355,28,0.0
Jesper Lindstrøm,FWMF,22.0,1976,29,0.23
Karol Linetty,MFFW,27.0,896,16,0.0
Jesse Lingard,FWMF,29.0,367,16,0.49
Pol Lirola,DFMF,24.0,1770,34,0.05
Valentino Livramento,DF,19.0,2202,28,0.04
Dejan Ljubicic,MFFW,24.0,1969,30,0.14
Javier Llabrés,FWMF,,132,5,0.0
Diego Llorente,DF,28.0,2340,28,0.12
Marcos Llorente,DFMF,27.0,2447,29,0.0
Hugo Lloris,GK,35.0,3420,38,0.0
Giovani Lo Celso,MFFW,26.0,238,9,0.0
Giovani Lo Celso,FWMF,26.0,994,16,0.09
Julen Lobete,FWMF,21.0,284,13,0.63
Stanislav Lobotka,MF,27.0,1686,23,0.05
Jürgen Locadia,FWMF,28.0,444,11,0.41
Jürgen Locadia,FW,28.0,23,1,0.0
Manuel Locatelli,MF,24.0,2160,31,0.13
Banzouzi Locko,DFMF,20.0,1011,24,0.09
Renan Lodi,DF,24.0,1181,29,0.15
Ruben Loftus-Cheek,MFDF,26.0,1394,24,0.0
Kevin Long,DF,31.0,410,6,0.0
Shane Long,FW,35.0,308,13,0.29
Sean Longstaff,MF,24.0,1464,24,0.06
Ademola Lookman,FWMF,24.0,1453,26,0.37
Anthony Lopes,GK,31.0,2982,34,0.0
David López,MFDF,32.0,743,18,0.0
Diego López,GK,40.0,3177,36,0.0
Javi López,DF,20.0,462,9,0.0
Maxime Lopez,MF,24.0,2938,35,0.06
Pau López,GK,27.0,2610,29,0.0
Unai López,MF,26.0,1160,27,0.0
Dion Lopy,MF,20.0,1642,26,0.0
Samuel Loric,DF,21.0,269,3,0.0
Anthony Losilla,MF,36.0,2935,33,0.06
Jonas Lössl,GK,33.0,180,2,0.0
Marcel Lotka,GK,21.0,885,10,0.0
Jordan Lotomba,DF,23.0,1782,30,0.0
Johaneko Louisjean,DF,17.0,12,1,0.0
Imran Louza,MF,23.0,1416,20,0.0
Matteo Lovato,DFMF,22.0,305,6,0.0
Matteo Lovato,DF,22.0,1238,16,0.0
Eduard Löwen,MF,25.0,1416,26,0.13
Matthew Lowton,DF,32.0,1772,25,0.05
Anthony Lozano,FWMF,29.0,1672,31,0.38
Hirving Lozano,FW,26.0,1613,30,0.28
Jean Lucas,MF,23.0,1445,28,0.06
Anderson Lucoqui,DF,24.0,743,13,0.12
José Luis Gayà,DF,27.0,1871,24,0.1
José Luis Morales,FWMF,34.0,2719,35,0.43
José Luis Palomino,DF,32.0,2672,34,0.03
Florentino Luís,MF,22.0,992,22,0.0
Luismi,FW,21.0,13,2,0.0
Douglas Luiz,MF,24.0,2715,34,0.07
Romelu Lukaku,FW,29.0,1589,26,0.45
Castello Lukeba,DF,19.0,2095,24,0.09
Dodi Lukebakio,FW,24.0,176,3,0.5
Dodi Lukebakio,FWMF,24.0,882,19,0.1
Saa Luki?,MF,25.0,2982,35,0.15
Levi Lumeka,DFFW,23.0,67,5,0.0
Andriy Lunin,GK,23.0,180,2,0.0
Andrey Lunyov,GK,30.0,90,1,0.0
Sebastiano Luperto,DF,25.0,1958,24,0.0
Andreas Luthe,GK,35.0,2430,27,0.0
Lyanco,DF,25.0,911,15,0.0
Charalambos Lykogiannis,DF,28.0,1817,28,0.05
Yannis M'Bemba,DFFW,20.0,5,2,0.0
Alexis Mac Allister,MFFW,23.0,2123,33,0.21
Deiver Machado,DF,28.0,523,22,0.0
Darwin Machís,MFFW,29.0,1376,25,0.26
Yvann Macon,DF,23.0,1529,22,0.0
James Maddison,MFFW,25.0,2459,35,0.44
Niki Mäenpää,GK,37.0,1485,17,0.0
Pablo Maffeo,DF,24.0,2945,35,0.03
Louis Mafouta,FW,27.0,525,15,0.34
Giulio Maggiore,MF,24.0,2819,35,0.06
Matej Maglica,DF,23.0,6,1,0.0
Francesco Magnanelli,MF,37.0,271,12,0.0
Giangiacomo Magnani,DF,26.0,239,4,0.0
Giangiacomo Magnani,DF,26.0,530,14,0.0
Hugo Magnetti,MF,23.0,1463,28,0.0
Yohann Magnin,MFDF,24.0,1717,24,0.05
Harry Maguire,DF,29.0,2515,30,0.04
Riyad Mahrez,FW,31.0,1498,28,0.66
Arne Maier,MF,23.0,1864,29,0.05
Habib Maïga,MFFW,26.0,1267,17,0.14
Mike Maignan,GK,26.0,2880,32,0.0
Ainsley Maitland-Niles,DF,24.0,487,8,0.0
Ainsley Maitland-Niles,MF,24.0,268,8,0.0
Josh Maja,FW,23.0,9,2,0.0
Abdul Majeed Waris,MFFW,30.0,327,15,0.56
Lovro Majer,MF,24.0,1832,29,0.29
Jean-Victor Makengo,MF,23.0,2351,33,0.04
Béni Makouana,FWMF,19.0,322,23,0.0
Nemanja Maksimovi?,MF,27.0,2936,35,0.03
Nikola Maksimovi?,DF,30.0,1115,14,0.0
Kévin Malcuit,DF,30.0,288,8,0.0
Daniel Maldini,MF,20.0,148,8,0.63
Youssef Maleh,MF,23.0,1019,28,0.18
Donyell Malen,FW,23.0,1684,27,0.27
Ruslan Malinovskyi,FWMF,29.0,1592,30,0.34
Hugo Mallo,DF,30.0,1826,21,0.05
Lennard Maloney,DF,22.0,9,2,0.0
Mickael Malsa,MF,26.0,1143,26,0.08
Giorgi Mamardashvili,GK,21.0,1620,18,0.0
Rey Manaj,FW,25.0,1768,30,0.26
Hianga Mananga Mbock,MF,22.0,799,14,0.0
Vincent Manceau,DF,32.0,2361,28,0.0
Gianluca Mancini,DF,26.0,2878,33,0.0
Leonardo Mancuso,FW,30.0,425,8,0.21
Steve Mandanda,GK,37.0,810,9,0.0
Reinildo Mandava,DF,28.0,1524,18,0.06
Reinildo Mandava,DF,28.0,1298,17,0.0
Aïssa Mandi,DF,30.0,1375,17,0.07
Rolando Mandragora,MF,24.0,1319,21,0.0
Anthony Mandrea,GK,25.0,900,10,0.0
Sadio Mané,FW,30.0,2819,34,0.51
Eliaquim Mangala,DF,31.0,1179,14,0.08
Orel Mangala,MF,24.0,1853,28,0.05
Thomas Mangani,MF,35.0,2193,33,0.29
Ricardo Mangas,DF,24.0,2353,29,0.11
Kostas Manolas,DF,30.0,313,4,0.0
Javier Manquillo,DF,28.0,1257,19,0.07
Myziane Maolida,MFFW,23.0,34,1,0.0
