Player,Pos,Age,Min,MP,Goals
Barcia,DF,21.0,75,1,0.0
Bradley Barcola,FWMF,19.0,263,11,0.0
Melvin Bard,DF,21.0,2589,33,0.07
Enis Bardhi,MFFW,26.0,1701,30,0.16
Francesco Bardi,GK,30.0,177,2,0.0
Keidi Bare,MF,24.0,1481,25,0.06
Nicolò Barella,MF,25.0,2913,36,0.09
Kike Barja,MFFW,25.0,865,21,0.21
Ross Barkley,MF,28.0,179,6,0.5
Aymen Barkok,MFFW,24.0,160,5,0.0
Ashley Barnes,FW,32.0,808,23,0.11
Harvey Barnes,FWMF,24.0,2101,32,0.26
Antonio Barragán,DF,34.0,1020,16,0.0
Leandro Barreiro Martins,MF,22.0,1789,31,0.05
Ander Barrenetxea,FWMF,20.0,547,11,0.16
Jacob Barrett Laursen,DF,27.0,1632,24,0.11
Musa Barrow,FWMF,23.0,2134,34,0.25
Abdourahmane Barry,DF,22.0,210,8,0.0
Marc Bartra,DF,31.0,1993,23,0.05
Daniele Baselli,MFFW,30.0,150,6,0.0
Daniele Baselli,MF,30.0,290,9,0.0
Toma Bai?,MF,25.0,982,29,0.0
Toma Bai?,MF,25.0,209,3,0.0
Amine Bassi,MF,24.0,184,5,0.0
Álvaro Bastida,MF,18.0,197,6,0.0
Alessandro Bastoni,DF,23.0,2311,31,0.04
Simone Bastoni,MFDF,25.0,2288,31,0.12
Lewis Bate,MF,19.0,146,3,0.0
Rodrigo Battaglia,MF,30.0,1179,26,0.0
Maximilian Bauer,DF,22.0,1690,26,0.0
Oliver Baumann,GK,31.0,2970,33,0.0
Timo Baumgartl,DF,26.0,2166,25,0.04
Julian Baumgartlinger,MF,34.0,88,6,0.0
Christoph Baumgartner,MFFW,22.0,1888,29,0.33
Jon Bautista,FWMF,26.0,45,1,0.0
Mohamed Bayo,FW,23.0,2413,32,0.52
Paul Baysse,DF,34.0,11,2,0.0
Noah Joel Sarenren Bazee,MFFW,25.0,241,14,0.37
Bebé,FWMF,31.0,867,29,0.1
Ihlas Bebou,FWDF,28.0,2091,28,0.3
Rodrigo Becão,DF,26.0,3130,35,0.06
Mads Bech Sørensen,DF,23.0,835,11,0.0
Sheraldo Becker,FWMF,27.0,1758,28,0.21
Jan Bednarek,DF,26.0,2629,31,0.14
Donny van de Beek,MF,25.0,75,8,1.25
Donny van de Beek,MF,25.0,483,7,0.19
Asmir Begovi?,GK,34.0,270,3,0.0
Valon Behrami,MF,37.0,311,10,0.0
Kevin Behrens,FW,31.0,499,24,0.36
Youcef Belaïli,MFFW,30.0,825,13,0.33
Vid Belec,GK,31.0,1938,23,0.0
Ishak Belfodil,FW,30.0,1636,26,0.27
Haris Belkebla,MF,28.0,2310,31,0.0
Stefan Bell,DF,30.0,2864,33,0.06
Armel Bella Kotchap,DF,20.0,1768,22,0.0
Raoul Bellanova,DF,21.0,2496,31,0.04
Karim Bellarabi,FWDF,32.0,683,16,0.39
Jean-Ricner Bellegarde,MF,23.0,2332,36,0.08
Héctor Bellerín,DF,27.0,1979,23,0.0
Jude Bellingham,MF,18.0,2790,32,0.1
George Bello,DF,20.0,434,10,0.0
Jeanuel Belocian,DF,17.0,12,1,0.0
Andrea Belotti,FW,28.0,1371,22,0.53
Fran Beltrán,MF,23.0,2597,37,0.03
Hatem Ben Arfa,FWMF,35.0,314,7,0.0
Salim Ben Seghir,FW,19.0,1,1,0.0
Wissam Ben Yedder,FW,31.0,2529,37,0.89
Marco Benassi,DFMF,27.0,158,6,0.0
Marco Benassi,MF,27.0,382,12,0.0
Darío Benedetto,FWMF,32.0,54,2,0.0
Darío Benedetto,FW,32.0,590,14,0.3
László Bénes,MF,24.0,246,13,0.0
Walter Benítez,GK,29.0,3330,37,0.0
Iker Benito,MFFW,19.0,118,4,0.0
Loris Benito,DF,30.0,61,1,0.0
Pedro Benito,FW,22.0,31,1,0.0
Filip Benkovi?,DFFW,24.0,8,2,0.0
Ismaël Bennacer,MF,24.0,1525,31,0.12
Keanan Bennetts,FWDF,23.0,50,4,0.0
Saïd Benrahma,FWMF,26.0,2168,32,0.33
Ramy Bensebaini,DF,27.0,2020,23,0.18
Nabil Bentaleb,MF,27.0,1515,18,0.06
Rodrigo Bentancur,MF,24.0,1361,17,0.0
Rodrigo Bentancur,MF,24.0,1155,19,0.0
Christian Benteke,FW,31.0,1145,25,0.31
Karim Benzema,FW,34.0,2593,32,0.94
Alessandro Berardi,GK,31.0,90,1,0.0
Domenico Berardi,FW,27.0,2819,33,0.48
Yuri Berchiche,DF,32.0,1015,14,0.09
Álex Berenguer,MFFW,26.0,2168,34,0.12
Bartosz Bereszy?ski,DF,29.0,2946,35,0.0
Jóhann Berg Gu?mundsson,MF,31.0,1102,18,0.0
Patrick Berg,MF,24.0,307,14,0.0
Mitchell van Bergen,FWMF,22.0,983,20,0.0
Steven Bergwijn,FWMF,24.0,565,25,0.48
Etrit Berisha,GK,33.0,900,10,0.0
Valon Berisha,MFFW,29.0,455,13,0.0
Federico Bernardeschi,MFFW,28.0,1475,28,0.06
Paul Bernardoni,GK,25.0,1170,13,0.0
Paul Bernardoni,GK,25.0,1710,19,0.0
Juan Bernat,DF,29.0,958,15,0.0
Dimitry Bertaud,GK,23.0,833,11,0.0
Jason Berthomier,MF,32.0,1732,29,0.05
Nicolò Bertola,MFDF,19.0,35,2,0.0
Ryan Bertrand,DF,32.0,337,4,0.0
Daniel Bessa,MFFW,29.0,768,24,0.12
Beto,FW,24.0,2173,28,0.46
Louis Beyer,DF,22.0,1384,17,0.0
Bartosz Bialek,FW,20.0,178,12,0.0
Giulian Biancone,DF,22.0,2292,33,0.04
Ermin Bi?ak?i?,DF,32.0,5,1,0.0
Mads Bidstrup,MF,21.0,41,4,0.0
Pedro Bigas,DF,31.0,1551,19,0.06
El Bilal Touré,FW,20.0,1194,21,0.15
Jean-Claude Billong,DF,28.0,980,15,0.0
Luis Binks,DF,20.0,646,15,0.0
Cristiano Biraghi,DF,29.0,3153,37,0.11
Davide Biraschi,DF,27.0,930,14,0.0
Tom Bischof,MFFW,16.0,14,1,0.0
Yves Bissouma,MF,25.0,2111,26,0.04
Nathan Bitu Mazala,DF,19.0,11,1,0.0
Marco Bizot,GK,31.0,3420,38,0.0
Bjarki Bjarkason,FW,22.0,3,1,0.0
Blanco,MF,21.0,31,1,0.0
Ludovic Blas,MFFW,24.0,2961,35,0.3
Danny Blum,FWMF,31.0,346,13,0.53
Myron Boadu,FW,21.0,960,31,0.37
Jérôme Boateng,DF,33.0,1622,24,0.0
Kevin-Prince Boateng,MFFW,35.0,696,18,0.0
Antonin Bobichon,MFFW,26.0,38,4,0.0
Herbert Bockhorn,DF,27.0,850,18,0.0
Jean-Paul Boëtius,MF,28.0,1800,33,0.1
Jeremie Boga,FWMF,25.0,670,12,0.0
Jeremie Boga,FWMF,25.0,764,15,0.0
Luka Bogdan,DF,26.0,399,6,0.0
Emil Bohinen,MF,23.0,699,11,0.0
Quentin Boisgard,MFFW,25.0,958,25,0.09
Charles Boli,MF,23.0,32,4,0.0
Willy Boly,DF,31.0,900,10,0.0
Giacomo Bonaventura,MF,32.0,2266,31,0.16
Federico Bonazzoli,FWMF,25.0,1866,32,0.48
Tarsis Bonga,FW,25.0,17,3,0.0
Kevin Bonifazi,DF,26.0,1210,22,0.0
Solomon Bonnah,DF,18.0,6,1,0.0
Leonardo Bonucci,DF,35.0,2005,24,0.22
Sebastiaan Bornauw,DF,23.0,2007,27,0.04
Rafael Borré,FW,26.0,2378,31,0.3
Sven Botman,DF,22.0,2250,25,0.12
Denis Bouanga,FWMF,27.0,2436,34,0.33
Hicham Boudaoui,MF,22.0,1621,29,0.17
Ryad Boudebouz,MFFW,32.0,2252,30,0.12
Sofiane Boufal,FWMF,28.0,2330,29,0.31
Farid Boulaya,MFFW,29.0,1526,24,0.24
Yassine Bounou,GK,31.0,2790,31,0.0
Ismaëlben Boura,DF,21.0,95,5,0.0
Mehdi Bourabia,MF,30.0,282,8,0.32
Benjamin Bourigeaud,FWMF,28.0,3193,38,0.31
Redwan Bourles,MFFW,19.0,16,4,0.0
Edoardo Bove,MFFW,20.0,68,11,1.25
Jarrod Bowen,FW,25.0,2983,36,0.36
Dedryck Boyata,DF,31.0,1898,23,0.0
Lucas Boyé,FW,26.0,1713,24,0.37
Domagoj Bradari?,DFMF,22.0,417,15,0.0
Bilal Brahimi,FWDF,22.0,338,9,0.0
Bilal Brahimi,MFFW,22.0,378,11,0.0
Martin Braithwaite,FW,30.0,235,4,0.77
Julian Brandt,MFFW,26.0,2078,31,0.39
Jarrad Branthwaite,DF,19.0,388,6,0.23
Darko Braanac,MF,30.0,2405,35,0.04
Lilian Brassier,DF,22.0,2263,31,0.04
Claudio Bravo,GK,39.0,1456,17,0.0
Iker Bravo,FW,17.0,12,1,0.0
Fabian Bredlow,GK,27.0,360,4,0.0
Josip Brekalo,MF,23.0,21,1,0.0
Josip Brekalo,FWMF,23.0,2286,32,0.28
Gleison Bremer,DF,25.0,2890,33,0.09
Jimmy Briand,FWMF,36.0,226,17,0.8
Yan Brice Eteki,MF,24.0,343,12,0.0
Brian Brobbey,FW,20.0,131,9,0.0
Armando Broja,FW,20.0,1975,32,0.27
Dylan Bronn,DF,26.0,2545,30,0.04
John Brooks,DF,29.0,2615,31,0.03
Daniel Brosinski,DF,33.0,390,11,0.0
Josh Brownhill,MF,26.0,2955,35,0.06
Marcelo Brozovi?,MF,29.0,2937,35,0.06
Cédric Brunner,DF,28.0,2183,27,0.0
Lewis Brunt,MF,21.0,24,1,0.0
Jacob Bruun Larsen,FWMF,23.0,812,25,0.44
Bryan,MFFW,21.0,753,13,0.0
Bryan,FWMF,21.0,94,9,0.0
